id;equipment;functieplaats;omschrijving;objecttype;geoCode;geoCode omschrijving;plaats;straat;standplaats code;standplaats;contractgebied code;contractgebied;status;equipmenttype;startpunt;eindpunt;lengte;maateenheid;naam;user status equipment;vestiging;oH-organisatie;oH-plann.groep;kostenplaats;vast actief;wijziging op;wijziging door;basis objecttype code;techniekveld;hoekverhouding kruising;aanschafdatum;eigenaar (economisch);bewapening;dikte ballast;hoofdspoor/zijspoor;profiel;smeerloze constructie;soort ballast;soort Wisselligger;generiek tekeningnummer;voegloos;monitoring;aangesloten wisselverwarming;operatie;producent;projectdefinitie;xY nauwkeurig begin gemeten;baanvaksnelheid goederen;baanvaksnelheid reizigers;dagtonnage reizigers;ondergrond (BAAN_ONDERGRONDWSL);in bestrating;plaatsingsdatum;kruisingnummer;datacollectie;theoretisch vervangingsjaar;afschrijvingsgroep;wissel classificatie;theoretische levensduur;bediening classificatie;beheerder;beheerder Extra Info;datum eerste plaatsing;locatie functioneel;xY nauwkeurig eind gemeten;spoorafstand;lTD tekeningnummer;economisch vervangingsjaar;technisch vervangingsjaar;inspectiejaar;hergebruikt object?;dagtonnage goederen;fictief tonnage;undersleeperpad aanwezig?;naam 3;opmerkingen;oud equipment;opmerking;naam 4;geokunststoffen;producent + type geokunststof;naam 2;naam 1
Dataset-Fysiek_object-11507804;11507804;560-308-1000312169;560 Kruising 43K 1: 4,5;Kruising;560;Den Haag Centraal;Niet van toepassing;Niet van toepassing;5;Randstad Zuid;2;Den Haag;INGB;B;24.904.000;24.904.000;;M;43K;VRIJ;1000;1000;02B;P2308-555;2022680;26-8-2019 00:00;808956;308;B;01:04,5;1-1-2003 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Beton;420024;Ja;Geen;Niet van toepassing;WIJZIGEN;ONBEKEND;;BBK (<=28cm);;;;Ballast op klei/veen;Nee;1-1-2003 00:00;43K;Dataverbetering;1-1-2063 00:00;4:  20.000 < Tf <= 40.000;D:  Niet centraal bed. wissel;60;IV;ProRail;Niet van toepassing;1-1-2003 00:00;GVC;BBK (<=28cm);4,5;;;;1-1-2025 00:00;;;;;;NVT;;;;;;;
Dataset-Fysiek_object-11507782;11507782;560-308-1000312167;560 Kruising 71K 1: 4,5;Kruising;560;Den Haag Centraal;Niet van toepassing;Niet van toepassing;5;Randstad Zuid;2;Den Haag;INGB;B;24.759.000;24.759.000;;M;71K;VRIJ;1000;1000;02B;P2308-555;2022680;26-8-2019 00:00;808956;308;B;01:04,5;1-1-2003 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Beton;411830;Ja;Geen;Niet van toepassing;WIJZIGEN;ONBEKEND;;BBK (<=28cm);;;;Ballast op klei/veen;Nee;1-1-2003 00:00;71K;Dataverbetering;1-1-2063 00:00;4:  20.000 < Tf <= 40.000;D:  Niet centraal bed. wissel;60;IV;ProRail;Niet van toepassing;1-1-2003 00:00;GVC;BBK (<=28cm);4,5;;31-12-2020 00:00;31-12-2019 00:00;1-1-2025 00:00;;;;;;NVT;;;;;;;
Dataset-Fysiek_object-11540267;11540267;618-308-1000312181;618 Kruising 101K 1: 4,5;Kruising;618;Eindhoven;Niet van toepassing;Niet van toepassing;3;Zuid;24;Eindhoven;INGB;B;51.181.000;51.181.000;;M;101K;VRIJ;1000;1000;24B;P3208-618;2019058;26-8-2019 00:00;808956;308;B;01:04,5;17-5-2015 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Beton;411793;Ja;Geen;Niet van toepassing;;Vossloh Cogifer Kloos B.V.;M-004182;Objectregistratie (<=1.5m);40;;;Ballast op zand;Nee;17-5-2015 00:00;101K;Mutaties vanuit projecten;1-1-2075 00:00;3:  40.000 < Tf <= 80.000;D:  Niet centraal bed. wissel;60;IV;ProRail;Niet van toepassing;17-5-2015 00:00;EHV;Objectregistratie (<=1.5m);Afwijkende spoorafstand;411793;;;;Nee;;;Nee;;;10121411;;;;;;
Dataset-Fysiek_object-11675455;11675455;144-308-1000461509;144 Kr 783K GW 1: 9;Kruising;144;Duivendrecht - Amsterdam Riekerpolder;Niet van toepassing;Niet van toepassing;4;Randstad Noord;10;Duivendrecht;INGB;B;153.620.000;153.620.000;;M;783K;VRIJ;1000;1000;10B;;;2-8-2019 00:00;P1003356;308;B;;1-5-2019 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;;Steenslag 31,5/50;Beton;;Ja;;;NIEUWBOUW;;;BBK (<=28cm);;;;Ballast op zand;Nee;1-5-2019 00:00;783K;Dataverbetering;;3:  40.000 < Tf <= 80.000;B:  Centr bed en middel belast;;II;ProRail;;1-5-2019 00:00;DVAW;BBK (<=28cm);;;;;;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10266218;10266218;546-308-1000311921;546 Kruising 2526K 64 graden (Bkp);Kruising;546;Blauwkapel;Niet van toepassing;Niet van toepassing;4;Randstad Noord;13;Utrecht;INGB;B;4.251.000;4.251.000;;M;2526K;VRIJ;1000;1000;13B;P2208-546;2020164;26-8-2019 00:00;808956;308;B;01:2,05;1-1-1990 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Hout;ONBEKEND;Ja;Geen;Nee;WIJZIGEN;Onbekend;;Objectregistratie (<=1.5m);;;;Ballast op zand;Nee;1-1-1990 00:00;2526K;Dataverbetering;1-1-2025 00:00;3:  40.000 < Tf <= 80.000;D:  Niet centraal bed. wissel;35;IV;ProRail;Niet van toepassing;;BKP;Objectregistratie (<=1.5m);;GEEN LTD;;;1-1-2014 00:00;;;;;;;;;;;;;
Dataset-Fysiek_object-10120272;10120272;127-308-1000311743;127 Kruising 391K 1: 5;Kruising;127;Roosendaal - Vlissingen;Niet van toepassing;Niet van toepassing;3;Zuid;18;Goes;INGB;B;48.548.000;48.557.000;0.009000;M;391K;VRIJ PRCB;1000;1000;18B;P3108-127;2018713;26-8-2019 00:00;808956;308;B;01:05;1-6-1993 00:00;ProRail;Indirecte bevestiging;15-25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 22/40;Hout;411034;Ja;Geen;;WIJZIGEN;ONBEKEND;Z-156402;Onbekende nauwkeurigheid;40;40;999;;;1-6-1993 00:00;391K;Dataverbetering;1-1-2033 00:00;6:  Tf <= 5.000 (lichtst bel.);C:  Centr bed en licht belast;;IV;;;1800-01-31 00: 00;;;;;31-12-2019 00:00;1-1-2199 00:00;;Nee;999;999;;P.E;;;;;;;;
Dataset-Fysiek_object-10201247;10201247;502-308-1000311807;502 Kruising 241K 1: 4,5;Kruising;502;Meppel;Niet van toepassing;Niet van toepassing;2;Noord-Oost;35;Drenthe;INGB;B;100.174.000;100.174.000;;M;241K;VRIJ;1000;1000;35B;P1108-502;2015606;26-8-2019 00:00;808956;308;B;01:04,5;1-1-1990 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Hout;411760;Nee;Geen;;WIJZIGEN;WBB;Z-156402;Onbekende nauwkeurigheid;40;40;999;Ballast op klei/veen;Nee;1-1-1990 00:00;241K;Dataverbetering;1-1-2015 00:00;6:  Tf <= 5.000 (lichtst bel.);C:  Centr bed en licht belast;;IV;;;1800-01-31 00: 00;;;;;;;;Nee;999;999;;;D-002263 PLANNING;;;;;;;
Dataset-Fysiek_object-10266359;10266359;586-308-1000311929;586 Kruising 916K 1: 4;Kruising;586;Amsterdam Centraal;Niet van toepassing;Niet van toepassing;4;Randstad Noord;9;Amsterdam;INGB;B;80.802.000;80.807.000;0.007000;M;916K;VRIJ;1000;1000;09B;P2108-586;2012590;26-8-2019 00:00;808956;308;B;01:04;1-1-2003 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Ekos-rollen;Steenslag 31,5/50;Beton;412829;Ja;Geen;Geen;SANEREN;ONBEKEND;Z-156402;BBK (<=28cm);;;25.800;Ballastloze constructie;Nee;1-1-2003 00:00;916K;Dataverbetering;1-1-2048 00:00;4:  20.000 < Tf <= 40.000;D:  Niet centraal bed. wissel;45;I;;;;;;;;;;;;;;;;;;Nieuwe ballast en ballastmatten;;;;;
Dataset-Fysiek_object-10561249;10561249;924-308-1000311979;924 Kruising 3597K 1: 4,5;Kruising;924;Kijfhoek;Niet van toepassing;Niet van toepassing;5;Randstad Zuid;99;Kijfhoek;INGB;B;35.828.000;35.848.000;0.020000;M;3597K;VRIJ PRCB;1000;1000;99B;P2308-924;2012739;26-8-2019 00:00;808956;308;B;01:04,5;1-1-1996 00:00;ProRail;Indirecte bevestiging;> 25 cm;Zijspoor;5,40E+02;Geen;Steenslag 31,5/50;Beton;411034;Ja;Geen;;1 OP 1 VERVANGING;VCK;K-004697;;;;;Ballast op zand;Nee;26-4-2017 00:00;3597K;Mutaties vanuit projecten;1-1-2052 00:00;4:  20.000 < Tf <= 40.000;D:  Niet centraal bed. wissel;35;IV;;;26-4-2017 00:00;;;4,5;;;;1-1-2011 00:00;Nee;;;Nee;aanvulling movaris dd 31-01-2157;NVT;;;FV-2205-110406;geogrid + filtervlies;Tensar GEOGRIDS;;
Dataset-Fysiek_object-10584574;10584574;603-308-1000311995;603 Kruising 169K 1: 4,5;Kruising;603;Zwolle;Niet van toepassing;Niet van toepassing;2;Noord-Oost;34;Overijssel;INGB;B;3.875.000;3.882.000;;M;169K;VRIJ;1000;1000;34B;P1108-603;2016310;26-8-2019 00:00;808956;308;B;01:04,5;1-1-1998 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Hout;411813;Ja;Geen;;WIJZIGEN;ONBEKEND;Z-156402;Onbekende nauwkeurigheid;100;100;999;Ballast op klei/veen;Nee;1-1-1998 00:00;169K;Dataverbetering;1-1-2028 00:00;6:  Tf <= 5.000 (lichtst bel.);C:  Centr bed en licht belast;;IV;;;1800-01-31 00: 00;;;;;31-12-2020 00:00;1-1-2199 00:00;;Nee;999;999;;;;;;;;;;
Dataset-Fysiek_object-10561855;10561855;924-308-1000311981;924 Kruising 341K 1: 9;Kruising;924;Kijfhoek;Niet van toepassing;Niet van toepassing;5;Randstad Zuid;99;Kijfhoek;INGB;B;36.006.000;36.034.000;0.028000;M;341K;VRIJ;1000;1000;99B;P2308-924;2017743;26-8-2019 00:00;808956;308;B;01:09;1-1-1994 00:00;ProRail;Indirecte bevestiging;15-25 cm;Zijspoor;5,40E+02;Geen;Steenslag 31,5/50;Hout;411033;Ja;Geen;;;WBB;R-07700E;;40;;;;;1-1-1994 00:00;341K;Mutaties vanuit projecten;1-1-2029 00:00;6:  Tf <= 5.000 (lichtst bel.);D:  Niet centraal bed. wissel;35;IV;;;;;;;;;;1-1-2025 00:00;;;;;aanvulling movaris dd 31-01-2158;NVT;;UPGE III Voegloos;FV-2205-110406;;;;
Dataset-Fysiek_object-11238242;11238242;513-308-1000312111;513 Kruising 135K 1: 4,5;Kruising;513;Geldermalsen;Niet van toepassing;Niet van toepassing;3;Zuid;22;Geldermalsen;INGB;B;26.189.000;26.189.000;;M;135K;VRIJ;1000;1000;22B;P3108-513;2018768;26-8-2019 00:00;808956;308;B;01:04,5;1-7-2011 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Beton;415090;Ja;Geen;Nee;WIJZIGEN;KLOOS OVING;M-003616;Objectregistratie (<=1.5m);60;;;Ballast op zand;Nee;1-7-2011 00:00;135K;Dataverbetering;1-1-2064 00:00;3:  40.000 < Tf <= 80.000;C:  Centr bed en licht belast;53;IV;ProRail;Niet van toepassing;;GDM;Objectregistratie (<=1.5m);4,5;ONBEKEND;;;;;;;;;;;;;;;;
Dataset-Fysiek_object-11190571;11190571;555-308-1000312103;555 Kruising 335K 1: 6;Kruising;555;Rotterdam Centraal;Niet van toepassing;Niet van toepassing;5;Randstad Zuid;3;Rotterdam;INGB;B;84.113.000;84.113.000;;M;335K;VRIJ;1000;1000;03B;P2308-555;2016941;26-8-2019 00:00;808956;308;B;01:06;1-2-2011 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Beton;413000;Ja;Geen;Geen;WIJZIGEN;WBN;K-003905;BBK (<=28cm);;;;Ballast op zand;Nee;1-2-2011 00:00;335K;Dataverbetering;1-1-2046 00:00;3:  40.000 < Tf <= 80.000;D:  Niet centraal bed. wissel;35;IV;ProRail;Niet van toepassing;1-2-2011 00:00;RTD;BBK (<=28cm);5,3;;;;1-1-2025 00:00;;;;;;NVT;;;;;;;
Dataset-Fysiek_object-11680658;11680658;055-308-1000469754;055 Kruising 345K 1: 4,5;Kruising;55;Blerick - Eindhoven;Niet van toepassing;Niet van toepassing;3;Zuid;27;Venlo;INGB;B;8.422.000;8.422.000;;M;345K;VRIJ PRCB;1000;1000;27B;;;30-9-2019 00:00;1016222;308;B;01:04,5;;ProRail;;> 25 cm;Zijspoor;5,40E+02;Geen;Steenslag 31,5/50;;;Ja;Geen;Niet van toepassing;;;;;;;;;Nee;5-11-2019 00:00;345K;;;;;;;ProRail;Niet van toepassing;5-11-2019 00:00;GKG;;4,5;;;;;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10120868;10120868;520-308-1000311771;520 Kruising 141K 1: 4,5;Kruising;520;Maastricht;Niet van toepassing;Niet van toepassing;3;Zuid;26;Maastricht;INGB;B;0.710000;0.710000;;M;141K;VRIJ;1000;1000;26B;P3208-520;2018508;26-8-2019 00:00;808956;308;B;01:04,5;1-1-2005 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;4,60E+04;Geen;Steenslag 31,5/50;Beton;412827;Nee;Geen;Niet van toepassing;WIJZIGEN;ONBEKEND;;Objectregistratie (<=1.5m);;;;;Nee;1-1-2005 00:00;141K;Dataverbetering;1-1-2044 00:00;4:  20.000 < Tf <= 40.000;D:  Niet centraal bed. wissel;;IV;ProRail;Niet van Toepassing;;MT;Objectregistratie (<=1.5m);Afwijkende spoorafstand;ONBEKEND;;;;;;;;;M-002047;;;;;;;
Dataset-Fysiek_object-10101838;10101838;924-308-1000311731;924 Kruising 2303K 1: 4,5;Kruising;924;Kijfhoek;Niet van toepassing;Niet van toepassing;5;Randstad Zuid;99;Kijfhoek;INGB;B;34.127.000;34.135.000;0.008000;M;2303K;VRIJ;1000;1000;99B;P2308-924;2012744;26-8-2019 00:00;808956;308;B;01:04,5;1-6-2004 00:00;ProRail;Indirecte bevestiging;> 25 cm;Zijspoor;5,40E+02;Geen;Steenslag 31,5/50;Hout;414773;Ja;Geen;;;RAILPRO;;;;;;;;1-6-2004 00:00;2303K;Initi?le vulling;1-1-2039 00:00;6:  Tf <= 5.000 (lichtst bel.);D:  Niet centraal bed. wissel;35;IV;;;;;;;;;;1-1-2025 00:00;;;;;aanvulling movaris dd 31-01-2122;wis.tek. 414773 / 412827;;;FV-2205-110406;;;;
Dataset-Fysiek_object-10120101;10120101;063-308-1000466024;063 Kruising 31K 1: 4,5;Kruising;63;Maastricht - Sittard;Niet van toepassing;Niet van toepassing;3;Zuid;26;Maastricht;INGB;B;13.721.000;13.721.000;;M;31K;PROJ PRCB;1000;1000;26B;P3208-063;2012061;26-8-2019 00:00;808956;308;B;01:04,5;1-1-1996 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Hout;411760;Ja;Geen;Niet van toepassing;WIJZIGEN;ONBEKEND;;Objectregistratie (<=1.5m);;;;;Nee;1-1-1996 00:00;31K;Dataverbetering;1-1-2026 00:00;4:  20.000 < Tf <= 40.000;C:  Centr bed en licht belast;30;IV;ProRail;Niet van Toepassing;;LUTA;Objectregistratie (<=1.5m);4;ONBEKEND;31-12-2019 00:00;1-1-2199 00:00;;;6.810;27.904;;;;;;;;;;
Dataset-Fysiek_object-10200642;10200642;011-308-1000311791;011 Kruising 58K 1: 4,5;Kruising;11;Assen - Haren;Niet van toepassing;Niet van toepassing;2;Noord-Oost;35;Drenthe;INGB;B;68.936.000;68.936.000;;M;58K;VRIJ;1000;1000;35B;P1108-913;2015100;26-8-2019 00:00;808956;308;B;01:04,5;1-1-1979 00:00;ProRail;Indirecte bevestiging;< 15 cm;Zijspoor;4,60E+04;Geen;Ballastgrind;Hout;44170;Nee;Geen;;WIJZIGEN;WBB;Z-156402;Onbekende nauwkeurigheid;40;40;999;Ballast op zand;Nee;1-1-1979 00:00;58K;Dataverbetering;1-1-2004 00:00;6:  Tf <= 5.000 (lichtst bel.);D:  Niet centraal bed. wissel;;IV;;;1800-01-31 00: 00;;;;;;31-12-2022 00:00;1-1-2013 00:00;Nee;999;999;;;D-002263 PLANNING;;;;;;;
Dataset-Fysiek_object-10265600;10265600;522-308-1000311863;522 Kruising 951K 1: 4,5;Kruising;522;Uitgeest;Niet van toepassing;Niet van toepassing;4;Randstad Noord;7;Alkmaar;INGB;B;57.721.000;57.721.000;;M;951K;VRIJ;1000;1000;07B;P2108-522;2013478;26-8-2019 00:00;808956;308;B;01:04,5;1-1-1988 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Ekos-rollen;Steenslag 31,5/50;Hout;411793;Ja;Geen;Niet van toepassing;WIJZIGEN;VOESTALPINE;;Objectregistratie (<=1.5m);;;;Ballast op zand;Nee;1-1-1988 00:00;951K;Dataverbetering;1-1-2023 00:00;3:  40.000 < Tf <= 80.000;D:  Niet centraal bed. wissel;35;IV;ProRail;Niet van toepassing;;UTG;Objectregistratie (<=1.5m);4,35;ONBEKEND;;;;;;;Ja;;LDV IN 2018;;;;;;;
Dataset-Fysiek_object-10265161;10265161;135-308-1000311843;135 Kruising 951K 1: 4,5;Kruising;135;Weesp Aansl. - Lelystad Industrieterrein;Niet van toepassing;Niet van toepassing;4;Randstad Noord;11;Weesp;INGB;B;45.749.000;45.767.000;0.018000;M;951K;VRIJ;1000;1000;11B;P2108-135;2020144;26-8-2019 00:00;808956;308;B;01:04,5;1-1-1992 00:00;ProRail;Indirecte bevestiging;> 25 cm;Zijspoor;4,60E+04;Ekos-rollen;Steenslag 22/40;Hout;44171;Nee;Geen;Niet van toepassing;WIJZIGEN;Onbekend;L-004865;Objectregistratie (<=1.5m);;;;Ballast op zand;Nee;1-1-1992 00:00;951K;Dataverbetering;1-1-2021 00:00;5:  5.000 < Tf <= 20.000;D:  Niet centraal bed. wissel;29;IV;ProRail;Niet van toepassing;;LLSO;Objectregistratie (<=1.5m);Afwijkende spoorafstand;GEEN LTD;;;;;;;Ja;;25-09-16 houten + ball verv.;;;;;;;
Dataset-Fysiek_object-10657076;10657076;940-308-1000312021;940 Kruising 913K 1: 4,5;Kruising;940;Amersfoort Bokkeduinen;Niet van toepassing;Niet van toepassing;4;Randstad Noord;12;Amersfoort;INGB;B;43.245.000;43.245.000;;M;913K;VRIJ;1000;1000;12B;P2208-940;2020149;26-8-2019 00:00;808956;308;B;01:04,5;1-1-1996 00:00;ProRail;Indirecte bevestiging;> 25 cm;Zijspoor;5,40E+02;Geen;Steenslag 22/40;Hout;420024;Ja;Geen;Nee;WIJZIGEN;Onbekend;;Objectregistratie (<=1.5m);;;;Ballast op zand;Nee;1-1-1996 00:00;913K;Dataverbetering;1-1-2026 00:00;5:  5.000 < Tf <= 20.000;C:  Centr bed en licht belast;30;IV;ProRail;Niet van toepassing;;BKD;Objectregistratie (<=1.5m);Asymmetrisch;GEEN LTD;;;;;;;Ja;;;;940 Amf Bokkeduinen krs 913K (ts 371A-B);;;;;
Dataset-Fysiek_object-10646014;10646014;950-308-1000312013;950 Kruising 333K 1: 4,5;Kruising;950;Barendrecht Vork - Rotterdam Maasvlakte;Niet van toepassing;Niet van toepassing;5;Randstad Zuid;4;Europoort;INGB;B;17.354.000;17.354.000;;M;333K;VRIJ;1000;1000;04B;P2308-950;2020190;26-8-2019 00:00;808956;308;B;01:04,5;25-4-1999 00:00;ProRail;Indirecte bevestiging;> 25 cm;Zijspoor;5,40E+02;Geen;Steenslag 31,5/50;Hout;411813;Ja;Geen;Niet van toepassing;WIJZIGEN;WBN;Z-166414;BBK (<=28cm);;;;Ballast op klei/veen;Nee;25-4-1999 00:00;333K;Dataverbetering;1-1-2029 00:00;6:  Tf <= 5.000 (lichtst bel.);C:  Centr bed en licht belast;30;IV;ProRail;;25-4-1999 00:00;PPLG_BOT;;4,5;;;;1-1-2025 00:00;;;;;aanvulling movaris dd 31-01-2384;NVT;;;FV-2205-110406;;;;
Dataset-Fysiek_object-10642056;10642056;478-308-1000312011;478 Kruising 1329K 1: 4,5;Kruising;478;Rotterdam Europoort 4;Niet van toepassing;Niet van toepassing;5;Randstad Zuid;4;Europoort;INGB;B;2.034.000;2.034.000;;M;1329K;VRIJ;1000;1000;04B;P2308-478;2020261;26-8-2019 00:00;808956;308;B;01:04,5;25-4-2001 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Hout;411830;Ja;Geen;Niet van toepassing;WIJZIGEN;RAILPRO;Z-166414;BBK (<=28cm);;;;Ballast op zand;Nee;25-4-2001 00:00;1329K;Dataverbetering;1-1-2036 00:00;;D:  Niet centraal bed. wissel;35;IV;ProRail;;25-4-2001 00:00;PPLG_MVTW;;4,35;;;;1-1-2025 00:00;;;;;aanvulling movaris dd 31-01-2019;NVT;;;FV-2205-110406;;;;
Dataset-Fysiek_object-10741325;10741325;544-308-1000312051;544 Kruising 1057K 1: 9;Kruising;544;Breda;Niet van toepassing;Niet van toepassing;3;Zuid;20;Breda;INGB;B;23.229.000;23.229.000;;M;1057K;VRIJ;1000;1000;20B;P3108-544;2014818;26-8-2019 00:00;808956;308;B;01:09;1-4-2004 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Beton;415091;Ja;Geen;Niet van toepassing;WIJZIGEN;ONBEKEND;;Objectregistratie (<=1.5m);80;;;Ballast op zand;Nee;1-4-2004 00:00;1057K;Dataverbetering;1-1-2039 00:00;2:  80.000 < Tf <= 130.000;A:  Centr bed en intens. belast;35;IV;ProRail;;1-4-2004 00:00;BD;Objectregistratie (<=1.5m);5;415091;;;;;;;Nee;;gesloten kruising;;;;;;;
Dataset-Fysiek_object-10981525;10981525;080-308-1000466026;080 Kruising 3291K 1: 4,5;Kruising;80;Amsterdam Bijlmer - Nieuwersluis=Loenen;Niet van toepassing;Niet van toepassing;4;Randstad Noord;10;Duivendrecht;INGB;B;8.009.000;8.072.000;0.063000;M;3291K;VRIJ;1000;1000;10B;P2108-080;;26-8-2019 00:00;808956;308;B;01:04,5;1-1-2006 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Beton;420306;Ja;Geen;Niet van toepassing;WIJZIGEN;Onbekend;Z-166414;Objectregistratie (<=1.5m);;;;Ballast op zand;Nee;1-1-2006 00:00;3291K;Dataverbetering;1-1-2051 00:00;3:  40.000 < Tf <= 80.000;B:  Centr bed en middel belast;45;IV;ProRail;Niet van toepassing;;AC;Objectregistratie (<=1.5m);Afwijkende spoorafstand;GEEN LTD;;;;;;;Ja;;;;;;;;;
Dataset-Fysiek_object-11452456;11452456;938-308-1000312139;938 Kruising 4503K 1: 9;Kruising;938;CUP Valburg;Niet van toepassing;Niet van toepassing;5;Randstad Zuid;71;A15trace;INGB;B;0.170000;0.170000;;M;4503R/4505L;VRIJ;1000;1000;71B;;;26-8-2019 00:00;808956;308;B;01:09;23-3-2004 00:00;ProRail;Indirecte bevestiging;15-25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Beton;414773;Ja;Geen;Niet van toepassing;WIJZIGEN;WBN;Z-166414;BBK (<=28cm);;;;Ballast op klei/veen;Nee;23-3-2004 00:00;4503K;Dataverbetering;1-1-2039 00:00;1:  130.000 < Tf (zwaarst bel.);A:  Centr bed en intens. belast;35;IV;ProRail;;1-1-2002 00:00;BRCUP;;4,5;;;;1-1-2025 00:00;;;;;;NVT;;;;;;;
Dataset-Fysiek_object-11450964;11450964;478-308-1000312135;478 Kruising 1029K 1: 9;Kruising;478;Rotterdam Europoort 4;Niet van toepassing;Niet van toepassing;5;Randstad Zuid;4;Europoort;INGB;B;0.321000;0.372000;0.051000;M;K_DD-EE;VRIJ;1000;1000;04B;;;26-8-2019 00:00;808956;308;B;01:09;30-6-2013 00:00;ProRail;Indirecte bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 31,5/50;Beton;414581;Ja;Geen;Niet van toepassing;WIJZIGEN;voestalpine WBN BV;Z-166414;BBK (<=28cm);;;;Ballast op zand;Nee;30-6-2013 00:00;1029K;Dataverbetering;1-1-2073 00:00;5:  5.000 < Tf <= 20.000;D:  Niet centraal bed. wissel;60;IV;ProRail;;30-6-2013 00:00;PPLG_MVT;;4,5;;;;1-1-2025 00:00;;;;;;NVT;;;;;;;
Dataset-Fysiek_object-11546287;11546287;586-308-1000312193;586 Kruising 913K 1: 4,5;Kruising;586;Amsterdam Centraal;Niet van toepassing;Niet van toepassing;4;Randstad Noord;9;Amsterdam;INGB;B;81.080.000;81.080.000;0.027000;M;913K;VRIJ;1000;1000;09B;P2108-586;2014043;26-8-2019 00:00;808956;308;B;01:04,5;3-10-2015 00:00;ProRail;Indirecte bevestiging;Geen ballast;Zijspoor;5,40E+02;Austrorollen;Geen ballast;Hout;411035;Ja;Geen;Geen;WIJZIGEN;WBN;Z-156402;BBK (<=28cm);;;;;Nee;3-10-2015 00:00;913K;Dataverbetering;1-1-2050 00:00;6:  Tf <= 5.000 (lichtst bel.);D:  Niet centraal bed. wissel;35;IV;;;3-10-2015 00:00;;;;;;;;Nee;;;;;;10266385;;;;;;
Dataset-Fysiek_object-11662724;11662724;527-308-1000467315;527 Kruising 929K 77 graden (Hlm);Kruising;527;Haarlem;Niet van toepassing;Niet van toepassing;4;Randstad Noord;8;Haarlem;INGB;B;500.987.000;500.987.000;;M;929K;VRIJ;1000;1000;08B;P2108-527;2020158;3-9-2019 00:00;931097;308;B;01:4,33;1-1-2006 00:00;ProRail;Gedeeltelijk dir bevestiging;> 25 cm;Hoofdspoor;5,40E+02;Geen;Steenslag 22/40;Hout;489445;Nee;Geen;Geen;1 OP 1 VERVANGING;Vossloh Laeis;L-005049;BBK (<=28cm);60;60;;Ballast op zand;Nee;14-10-2018 00:00;929K;Mutaties vanuit projecten;1-1-2041 00:00;3:  40.000 < Tf <= 80.000;D:  Niet centraal bed. wissel;23;IV;;;14-10-2018 00:00;HLM;BBK (<=28cm);Afwijkende spoorafstand;;;;;Nee;;;Nee;;;;;;geogrid + filtervlies;Tensar GEOGRIDS;;
Dataset-Fysiek_object-10266434;10266434;586-308-1000311939;586 Kruising 965K 1: 9;Kruising;586;Amsterdam Centraal;Niet van toepassing;Niet van toepassing;4;Randstad Noord;9;Amsterdam;INGB;B;81.147.000;81.174.000;0.007000;M;965K;VRIJ;1000;1000;09B;P2108-586;2020138;26-8-2019 00:00;808956;308;B;01:09;1-1-1998 00:00;ProRail;Indirecte bevestiging;15-25 cm;Hoofdspoor;5,40E+02;Switchglides;Steenslag 31,5/50;Hout;411793;Ja;Geen;Geen;SANEREN;ONBEKEND;Z-156402;BBK (<=28cm);40;40;;Ballast op zand;Nee;1-1-1998 00:00;965K;Dataverbetering;1-1-2033 00:00;6:  Tf <= 5.000 (lichtst bel.);D:  Niet centraal bed. wissel;35;I;;;;;;;;;;;;;;;;"""KRS 1 :  5,26""";;;;;;;
