id;equipment;functieplaats;omschrijving;objecttype;geoCode;geoCode omschrijving;plaats;straat;standplaats code;standplaats;contractgebied code;contractgebied;status;equipmenttype;startpunt;eindpunt;lengte;maateenheid;naam;user status equipment;opmerking;vestiging;oH-organisatie;oH-plann.groep;kostenplaats;vast actief;wijziging op;wijziging door;basis objecttype code;techniekveld;puicnummer;aanschafdatum;datacollectie;eigenaar (economisch);opmerkingen;producent;theoretisch vervangingsjaar;afschrijvingsgroep;bewapening;dikte ballast;hoofdspoor/zijspoor;wissel classificatie;profiel;smeerloze constructie;soort ballast;generiek tekeningnummer;voegloos;monitoring;inspectiejaar;soort Wisselligger;theoretische levensduur;bediening classificatie;hoekverhouding kruising;kruisingnummer;plaatsingsdatum;aangesloten wisselverwarming;beheerder;beheerder Extra Info;datum eerste plaatsing;operatie;locatie functioneel;xY nauwkeurig begin gemeten;xY nauwkeurig eind gemeten;ondergrond (BAAN_ONDERGRONDWSL);spoorafstand;in bestrating;technisch vervangingsjaar;economisch vervangingsjaar;lTD tekeningnummer;undersleeperpad aanwezig?;hergebruikt object?;projectdefinitie;naam 2;naam 3;dagtonnage goederen;dagtonnage reizigers;fictief tonnage;geokunststoffen;producent + type geokunststof;naam 4;waarde;naam 1;oud equipment
Dataset-Fysiek_object-10265620;10265620;522-308-1000311867;522 Kruising K219 1:6;Kruising;522;Uitgeest;Niet van toepassing;Niet van toepassing;42;Noord-West;7;Alkmaar;INGB;B;58.148000;58.200000;0.052000;M;K219;VRIJ;Krs 1:6 op beton komt niet voor in BID00021-1. IDS datum is  5-6-2014;1000;1000;07B;P2108-522;2020148;2022-10-10 00:00;P1002958;308;B;db636f42-844f-4a5e-8ccf-f6ee6d4954ae;2014-06-05 00:00;Dataverbetering;ProRail;Tek nr: 1125500 zie int opm;BUTZBACHER WEICHENBAU;2049-01-01 00:00;3: 40.000 < Tf <= 80.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;UNICAAT;Ja;Geen;2012-01-01 00:00;Beton;35;IV;1:6;K219;2014-06-05 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;UTG;BBK (<=28cm);BBK (<=28cm);Ballast op zand;Afwijkende spoorafstand;Nee;;;1461595;Ja;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10101416;10101416;555-308-1000311713;555 Kruising K255AA 1:4,5;Kruising;555;Rotterdam Centraal;Niet van toepassing;Niet van toepassing;52;Zuid-Holland-Zuid;3;Rotterdam;INGB;B;83.422000;83.433000;0.011000;M;K255AA;VRIJ;;1000;1000;03B;P2308-555;2016936;2022-08-23 00:00;P1002958;308;B;d27647e3-03f9-4344-9b35-7b3a1d0418a6;2004-01-01 00:00;Dataverbetering;ProRail;NVT;KLOOS OVING;2039-01-01 00:00;3: 40.000 < Tf <= 80.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;415091;Ja;Geen;2025-01-01 00:00;Beton;35;Niet van toepassing;1:4,5;K255AA;2004-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;2004-01-01 00:00;WIJZIGEN;RTD;BBK (<=28cm);BBK (<=28cm);Ballast op zand;5,0;Nee;;;GEEN LTD;Nee;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10200643;10200643;011-308-1000311793;011 Kruising K67 1:4,5;Kruising;011;Assen - Haren;Niet van toepassing;Niet van toepassing;21;Noord;35;Drenthe;INGB;B;68.997000;69.010000;0.013000;M;K67;VRIJ;;1000;1000;35B;P1108-937;2015101;2021-07-21 00:00;P1005295;308;B;2bf7ca75-be25-42ee-a381-bc22fe57902d;1975-01-01 00:00;Dataverbetering;ProRail;D-002263 PLANNING;WBB;2004-01-01 00:00;6: Tf <= 5.000 (lichtst bel.);Indirecte bevestiging;< 15 cm;Zijspoor;D: Niet centraal bed. wissel;46E3;Geen;Ballastgrind;44170;Ja;Geen;2014-01-01 00:00;Hout;29;IV;1:4,5;K67;1975-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;ONR;Onbekende nauwkeurigheid;Objectregistratie (<=1.5m);Ballast op zand;4,5;Nee;2026-12-31 00:00;2025-12-31 00:00;GEEN LTD;Nee;Nee;;;;999;999;999;;;;;;
Dataset-Fysiek_object-10265573;10265573;506-308-1000311861;506 Kruising K95B 1:5;Kruising;506;Amersfoort;Niet van toepassing;Niet van toepassing;41;Midden;12;Amersfoort;INGB;B;44.010000;44.055000;0.045000;M;K95B;VRIJ PRCB;;1000;1000;12B;P2208-506;2020156;2022-06-07 00:00;P1002958;308;B;c5f649eb-f357-423f-b8f7-0c66a1042e00;2000-01-01 00:00;Dataverbetering;ProRail;;RAILPRO;2019-01-01 00:00;3: 40.000 < Tf <= 80.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;414111;Ja;Geen;;Hout;19;IV;1:5;K95B;2000-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;AMF;Objectregistratie (<=1.5m);Objectregistratie (<=1.5m);Ballast op zand;Asymmetrisch;Nee;2199-01-01 00:00;2024-12-31 00:00;GEEN LTD;Ja;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10266565;10266565;620-308-1000311947;620 Kruising K7 1:4,5;Kruising;620;Alkmaar;Niet van toepassing;Niet van toepassing;42;Noord-West;7;Alkmaar;INGB;B;42.269000;42.271000;0.002000;M;K7;VRIJ;;1000;1000;07B;P2108-620;2014469;2022-10-11 00:00;P1002958;308;B;0e286e1c-a232-4265-ae28-97f2684784c5;2003-01-01 00:00;Dataverbetering;ProRail;;Onbekend;2038-01-01 00:00;3: 40.000 < Tf <= 80.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;Niet van toepassing;54E1;Geen;Steenslag 31,5/50;412860;Ja;Geen;;Beton;35;Niet van toepassing;1:4,5;K7;2003-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;AMR;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,0;Nee;;;GEEN LTD;Ja;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10552126;10552126;542-308-1000311975;542 Kruising K1233 1:4,5;Kruising;542;Dordrecht;Niet van toepassing;Niet van toepassing;52;Zuid-Holland-Zuid;5;Dordrecht;INGB;B;29.756000;29.763000;0.007000;M;K1233;VRIJ;Ldv TVVJ 01.01.2016;1000;1000;05B;P2308-542;2020189;2022-05-18 00:00;931097;308;B;782c378e-12b1-408e-bdc3-c8f436f96fd5;2017-04-01 00:00;Dataverbetering;ProRail;;WBN;2062-01-01 00:00;4: 20.000 < Tf <= 40.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;415090;Ja;Geen;2013-01-01 00:00;Beton;45;IV;1:4,5;K1233;2017-04-17 00:00;Niet van toepassing;ProRail;Niet van toepassing;2017-04-17 00:00;;DDR;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,5;Nee;;;GEEN LTD;Nee;Nee;K-006020;;;;;;geogrid + filtervlies;Tensar GEOGRIDS;FV-2205-110406;;;
Dataset-Fysiek_object-10265311;10265311;485-308-1000311845;485 Kruising K51 1:4;Kruising;485;Amsterdam Hemhaven (gebied);Niet van toepassing;Niet van toepassing;41;Midden;9;Amsterdam;INGB;B;100.874000;100.881000;0.007000;M;K51;VRIJ;marjon 12jan17: van proj gehaald omdat er geen openstaand invulprofiel;1000;1000;09B;P2108-485;2013182;2022-10-05 00:00;P1002958;308;B;4b1ca1f7-a8ad-4ed3-8fbf-5f5d4f557913;1989-01-01 00:00;Dataverbetering;ProRail;Houten vervangen dd 30-6-2017;ONBEKEND;2023-01-01 00:00;6: Tf <= 5.000 (lichtst bel.);Indirecte bevestiging;> 25 cm;Zijspoor;D: Niet centraal bed. wissel;46E3;Geen;Steenslag 31,5/50;47470;Nee;Geen;2013-01-01 00:00;Hout;35;IV;1:4;K51;1989-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGING;ASDH;Objectregistratie (<=1.5m);Objectregistratie (<=1.5m);;4,5;Nee;2031-12-31 00:00;;GEEN LTD;;Ja;L-004864;;;;;;;;;;;
Dataset-Fysiek_object-10265757;10265757;527-308-1000311873;527 Kruising K59 1:9;Kruising;527;Haarlem;Niet van toepassing;Niet van toepassing;42;Noord-West;8;Haarlem;INGB;B;16.876000;16.882000;0.006000;M;K59;VRIJ;;1000;1000;08B;P2108-527;2013840;2021-07-21 00:00;P1005295;308;B;ab21f095-06e0-421c-a731-dc0722c7e11e;2002-01-01 00:00;Dataverbetering;ProRail;ts 59A-59B;BWG;2037-01-01 00:00;3: 40.000 < Tf <= 80.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Ekos-rollen;Steenslag 31,5/50;414366;Ja;Geen;;Beton;35;I;1:9;K59;2002-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;HLM;BBK (<=28cm);Objectregistratie (<=1.5m);Ballast op zand;4,5;Nee;;;GEEN LTD;Nee;Nee;Z-156402;;;;;;;;;;;
Dataset-Fysiek_object-10101554;10101554;561-308-1000311729;561 Kruising K89 1:4,5;Kruising;561;Den Haag Laan van NOI;Niet van toepassing;Niet van toepassing;51;Zuid-Holland Noord;2;Den Haag;INGB;B;59.644000;59.652000;0.008000;M;K89;VRIJ;;1000;1000;02B;P2308-561;2017046;2021-09-09 00:00;288456;308;B;5615d73e-1a30-4911-a0df-c62d402916e5;2006-01-01 00:00;Dataverbetering;ProRail;NVT;WBB;2041-01-01 00:00;3: 40.000 < Tf <= 80.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;415090;Ja;Geen;2025-01-01 00:00;Beton;35;IV;1:4,5;K89;2006-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;2006-01-01 00:00;WIJZIGEN;LAA;BBK (<=28cm);BBK (<=28cm);Ballast op klei/veen;4,5;Nee;;;GEEN LTD;Nee;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10202032;10202032;609-308-1000311833;609 Kruising K91 1:4,5;Kruising;609;Zutphen;Niet van toepassing;Niet van toepassing;22;Oost;31;IJsselstreek;INGB;B;27.546000;27.553000;0.007000;M;K91;VRIJ;;1000;1000;31B;P1208-609;2015794;2022-07-20 00:00;P1002958;308;B;2e5bb941-c8d6-4dc2-93e9-8dc1aef694fe;2004-11-01 00:00;Dataverbetering;ProRail;;KLOOS OVING;2064-11-01 00:00;6: Tf <= 5.000 (lichtst bel.);Indirecte bevestiging;< 15 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;412829;Ja;Geen;;Beton;60;I;1:4,5;K91;2004-11-01 00:00;Niet van toepassing;ProRail;;;SANEREN;ZP;BBK (<=28cm);Objectregistratie (<=1.5m);Ballast op zand;4,5;Nee;;;GEEN LTD;Nee;Nee;Z-156402;;;;;;;;;;;
