id;equipment;functieplaats;omschrijving;objecttype;geoCode;geoCode omschrijving;plaats;straat;standplaats code;standplaats;contractgebied code;contractgebied;status;equipmenttype;startpunt;eindpunt;lengte;maateenheid;naam;user status equipment;opmerking;vestiging;oH-organisatie;oH-plann.groep;kostenplaats;vast actief;wijziging op;wijziging door;basis objecttype code;techniekveld;puicnummer;aanschafdatum;datacollectie;eigenaar (economisch);opmerkingen;producent;theoretisch vervangingsjaar;afschrijvingsgroep;bewapening;dikte ballast;hoofdspoor/zijspoor;wissel classificatie;profiel;smeerloze constructie;soort ballast;generiek tekeningnummer;voegloos;monitoring;inspectiejaar;soort Wisselligger;theoretische levensduur;bediening classificatie;hoekverhouding kruising;kruisingnummer;plaatsingsdatum;aangesloten wisselverwarming;beheerder;beheerder Extra Info;datum eerste plaatsing;operatie;locatie functioneel;xY nauwkeurig begin gemeten;xY nauwkeurig eind gemeten;ondergrond (BAAN_ONDERGRONDWSL);spoorafstand;in bestrating;technisch vervangingsjaar;economisch vervangingsjaar;lTD tekeningnummer;undersleeperpad aanwezig?;hergebruikt object?;projectdefinitie;naam 2;naam 3;dagtonnage goederen;dagtonnage reizigers;fictief tonnage;geokunststoffen;producent + type geokunststof;naam 4;waarde;naam 1;oud equipment
Dataset-Fysiek_object-10101173;10101173;534-308-1000311701;534 Kruising K1007 1:4,5;Kruising;534;Leiden Centraal;Niet van toepassing;Niet van toepassing;51;Zuid-Holland Noord;1;Leiden;INGB;B;44.689000;44.713000;0.024000;M;K1007;VRIJ;;1000;1000;01B;P2308-534;2012475;2021-07-21 00:00;P1005295;308;B;de82c66f-56e8-48c2-84ee-751d9c3ecd0b;1995-01-01 00:00;Dataverbetering;ProRail;;RAILPRO;2030-01-01 00:00;6: Tf <= 5.000 (lichtst bel.);Indirecte bevestiging;> 25 cm;Hoofdspoor;C: Centr bed en licht belast;54E1;Geen;Steenslag 31,5/50;420024;Nee;Geen;2015-01-01 00:00;Hout;35;IV;1:4,5;K1007;1995-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;LEDN;Onbekende nauwkeurigheid;Objectregistratie (<=1.5m);;4,5;Nee;;;GEEN LTD;Nee;Nee;Z-156402;;;999;999;999;;;FV-2205-110406;;;
Dataset-Fysiek_object-10201202;10201202;501-308-1000311805;501 Kruising K173 1:4,5;Kruising;501;Groningen;Niet van toepassing;Niet van toepassing;21;Noord;37;Groningen;INGB;B;81.007000;81.010000;0.003000;M;K173;VRIJ;;1000;1000;37B;P1108-501;2015565;2022-08-02 00:00;P1002958;308;B;48e09186-3982-4d26-beb8-a3a23189886a;1988-01-01 00:00;Dataverbetering;ProRail;;WBB;2013-01-01 00:00;4: 20.000 < Tf <= 40.000;Indirecte bevestiging;< 15 cm;Hoofdspoor;C: Centr bed en licht belast;54E1;Geen;Steenslag 31,5/50;411760;Ja;Geen;2014-01-01 00:00;Hout;25;IV;1:4,5;K173;1988-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;1988-01-01 00:00;WIJZIGEN;GN;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,0;Nee;;;GEEN LTD;Nee;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10265567;10265567;506-308-1000311849;506 Kruising K25A 1:9;Kruising;506;Amersfoort;Niet van toepassing;Niet van toepassing;41;Midden;12;Amersfoort;INGB;B;43.091000;43.138000;0.047000;M;K25A;VRIJ PRCB;;1000;1000;12B;P2208-506;2020150;2022-07-18 00:00;P1002958;308;B;ac8c7a14-66fc-4a4a-8758-eb0f2f054b3d;2000-01-01 00:00;Dataverbetering;ProRail;;RAILPRO;2023-01-01 00:00;3: 40.000 < Tf <= 80.000;Indirecte bevestiging;15-25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;410845;Ja;Geen;;Hout;23;IV;1:9;K25A;2000-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;AMF;BBK (<=28cm);BBK (<=28cm);Ballast op zand;Asymmetrisch;Nee;2024-12-31 00:00;2024-12-31 00:00;GEEN LTD;Ja;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10265470;10265470;506-308-1000311847;506 Kruising K157BA 1:4,5;Kruising;506;Amersfoort;Niet van toepassing;Niet van toepassing;41;Midden;12;Amersfoort;INGB;B;44.264000;44.287000;0.023000;M;K157BA;VRIJ PRCB;;1000;1000;12B;P2208-506;2013649;2022-06-04 00:00;P1002958;308;B;257c26d2-61b0-4af8-8ff4-2cd815a3f60a;2004-01-01 00:00;Dataverbetering;ProRail;;Onbekend;2057-01-01 00:00;5: 5.000 < Tf <= 20.000;Indirecte bevestiging;> 25 cm;Zijspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;415090;Ja;Geen;;Beton;53;IV;1:4,5;K157BA;2004-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;AMF;BBK (<=28cm);BBK (<=28cm);Ballast op zand;Asymmetrisch;Nee;;;GEEN LTD;Ja;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10100423;10100423;950-308-1000311691;950 Kruising K207 1:4,5;Kruising;950;Barendrecht Vork - Rotterdam Maasvlakte;Niet van toepassing;Niet van toepassing;53;Zee-Zevenaar;4;Europoort;INGB;B;7.817000;7.824000;0.007000;M;K207;VRIJ;;1000;1000;04B;P2308-950;2022583;2021-07-21 00:00;P1005295;308;B;78dc85bc-ab13-4fec-8639-9e8526c8501f;2020-01-01 00:00;Mutaties vanuit projecten;ProRail;;Vossloh Cogifer Kloos BV;2073-01-01 00:00;5: 5.000 < Tf <= 20.000;Indirecte bevestiging;> 25 cm;Zijspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;415090;Ja;Geen;2016-01-01 00:00;Beton;53;IV;1:4,5;K207;2020-01-01 00:00;Niet van toepassing;ProRail;;2020-01-01 00:00;1 OP 1 VERVANGING;WHZ;BBK (<=28cm);BBK (<=28cm);Ballast op klei/veen;4,5;Nee;2022-12-31 00:00;2021-12-31 00:00;GEEN LTD;Nee;Nee;K-006631;;aanvulling movaris dd 31-01-2247;;;;geogrid + filtervlies;Tensar GEOGRIDS;FV-2205-110406;;;
Dataset-Fysiek_object-10266762;10266762;626-308-1000311951;626 Kruising K45 1:4,5;Kruising;626;Hoorn;Niet van toepassing;Niet van toepassing;42;Noord-West;6;Heerhugowaard;INGB;B;32.972000;32.974000;0.002000;M;K45;VRIJ;;1000;1000;06B;P2108-626;2014504;2022-05-31 00:00;P1007624;308;B;6d909a57-f39b-4520-b064-25e2365cc123;1992-01-01 00:00;Mutaties vanuit projecten;ProRail;;Onbekend;2067-02-27 00:00;4: 20.000 < Tf <= 40.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Austrorollen;Steenslag 31,5/50;415103;Ja;Geen;;Beton;45;IV;1:4,5;K45;2022-02-27 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;HN;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,0;Nee;;;ONBEKEND;Ja;Nee;L-005280;;;;;;geogrid + filtervlies;Tensar GEOGRIDS;;;;
Dataset-Fysiek_object-10101417;10101417;555-308-1000311715;555 Kruising 279BA 1:4,5;Kruising;555;Rotterdam Centraal;Niet van toepassing;Niet van toepassing;52;Zuid-Holland-Zuid;3;Rotterdam;INGB;B;83.714000;83.721000;0.007000;M;279BA;VRIJ;;1000;1000;03B;P2308-555;2016937;2021-09-09 00:00;288456;308;B;615d75d2-4006-491c-b4e8-dc07b3257619;2004-01-01 00:00;Dataverbetering;ProRail;NVT;KLOOS OVING;2039-01-01 00:00;3: 40.000 < Tf <= 80.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;415090;Ja;Geen;2025-01-01 00:00;Beton;35;IV;1:4,5;279BA;2004-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;2004-01-01 00:00;WIJZIGEN;RTD;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,5;Nee;;;GEEN LTD;Nee;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10201453;10201453;514-308-1000311815;514 Kruising K107 1:4,5;Kruising;514;Nijmegen;Niet van toepassing;Niet van toepassing;22;Oost;28;Maas en Waal;INGB;B;17.023000;17.030000;0.007000;M;K107;VRIJ;;1000;1000;28B;P1208-514;2012345;2021-09-09 00:00;288456;308;B;60ffe33c-6feb-4ca0-b174-b2420ef3ea20;2005-01-01 00:00;Dataverbetering;ProRail;;ONBEKEND;2058-01-01 00:00;5: 5.000 < Tf <= 20.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;C: Centr bed en licht belast;54E1;Geen;Steenslag 31,5/50;412829;Ja;Geen;;Beton;53;IV;1:4,5;K107;2005-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;2005-01-01 00:00;WIJZIGEN;NM;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,5;Nee;;;GEEN LTD;Nee;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10201903;10201903;606-308-1000311829;606 Kruising K81 1:4,5;Kruising;606;Almelo;Niet van toepassing;Niet van toepassing;22;Oost;32;Twente;INGB;B;0.634000;0.641000;0.007000;M;K81;VRIJ;;1000;1000;32B;P1208-606;2016108;2022-07-19 00:00;P1002958;308;B;2f1cb9ac-4354-4b9d-b195-cdae9e4884a5;1998-01-01 00:00;Dataverbetering;ProRail;;ONBEKEND;2023-01-01 00:00;4: 20.000 < Tf <= 40.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;B: Centr bed en middel belast;54E1;Geen;Steenslag 31,5/50;411034;Nee;Geen;;Hout;25;IV;1:4,5;K81;1998-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;1998-01-01 00:00;WIJZIGEN;AML;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,5;Nee;2023-12-31 00:00;2023-12-31 00:00;GEEN LTD;Nee;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10525598;10525598;927-308-1000311969;927 Kruising K3071B 1:4,5;Kruising;927;Watergraafsmeer;Niet van toepassing;Niet van toepassing;41;Midden;11;Weesp;INGB;B;905.456000;905.463000;0.007000;M;K3071B;VRIJ;"927 Wgm krs 9004K  ""D"" (ts 3077A-3077B)";1000;1000;11B;P2108-927;2020142;2022-04-27 00:00;P1002958;308;B;543b0741-c279-410f-9b32-df2a1e0380ee;1994-01-01 00:00;Dataverbetering;ProRail;;Onbekend;2024-01-01 00:00;5: 5.000 < Tf <= 20.000;Indirecte bevestiging;> 25 cm;Zijspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;411813;Ja;Geen;;Hout;30;IV;1:4,5;K3071B;1994-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;WGM;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,5;Nee;2023-12-31 00:00;2023-12-31 00:00;GEEN LTD;Ja;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10530281;10530281;542-308-1000311973;542 Kruising K1191 1:4,5;Kruising;542;Dordrecht;Niet van toepassing;Niet van toepassing;52;Zuid-Holland-Zuid;5;Dordrecht;INGB;B;29.422000;29.427000;0.005000;M;K1191;VRIJ;;1000;1000;05B;P2308-542;2017703;2022-10-05 00:00;P1002958;308;B;747d9666-8424-4f1f-85a0-dbdce2b6dcd3;2005-01-01 00:00;Dataverbetering;ProRail;NVT;KLOOS HOLLANDIA;2058-01-01 00:00;5: 5.000 < Tf <= 20.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;415089;Ja;Geen;2025-01-01 00:00;Beton;53;IV;1:4,5;K1191;2005-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;DDR;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,35;Nee;;;GEEN LTD;Nee;Nee;;;;;;;;;FV-2205-110406;;;
Dataset-Fysiek_object-10584148;10584148;508-308-1000311993;508 Kruising K851 1:4,5;Kruising;508;Arnhem;Niet van toepassing;Niet van toepassing;22;Oost;30;Achterhoek;INGB;B;91.018000;91.024000;0.006000;M;K851;VRIJ;;1000;1000;30B;P1208-508;2016298;2022-01-11 00:00;175844;308;B;d37a4bd8-8272-4c13-900d-abd7c5a4b054;1997-01-01 00:00;Dataverbetering;ProRail;;ONBEKEND;2026-01-01 00:00;6: Tf <= 5.000 (lichtst bel.);Indirecte bevestiging;15-25 cm;Zijspoor;D: Niet centraal bed. wissel;46E3;Geen;Steenslag 22/40;44170;Nee;Geen;;Hout;29;IV;1:4,5;K851;1997-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;1997-01-01 00:00;WIJZIGEN;AHB;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,35;Nee;2021-12-31 00:00;2024-12-31 00:00;GEEN LTD;Nee;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10765925;10765925;560-308-1000312055;560 Kruising K1241 1:4,5;Kruising;560;Den Haag Centraal;Niet van toepassing;Niet van toepassing;51;Zuid-Holland Noord;2;Den Haag;INGB;B;24.849000;24.880000;0.031000;M;K1241;VRIJ;;1000;1000;02B;P2308-560;2017917;2021-09-09 00:00;288456;308;B;2e5481c6-7af8-40a1-8754-a06ee3816a8b;2005-10-15 00:00;Dataverbetering;ProRail;NVT;WBN;2050-10-15 00:00;4: 20.000 < Tf <= 40.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;420306;Ja;Geen;2025-01-01 00:00;Beton;45;IV;1:4,5;K1241;2005-10-15 00:00;Niet van toepassing;ProRail;Niet van toepassing;2005-10-15 00:00;WIJZIGEN;GVC;BBK (<=28cm);BBK (<=28cm);Ballast op klei/veen;Asymmetrisch;Nee;;;GEEN LTD;Nee;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-11620823;11620823;478-308-1000351680;478 Kruising K1591 1:4,5;Kruising;478;Rotterdam Europoort 4;Niet van toepassing;Niet van toepassing;53;Zee-Zevenaar;4;Europoort;INGB;B;1.890000;1.909000;0.019000;M;K1591;VRIJ;;1000;1000;04B;;;2021-09-09 00:00;288456;308;B;35f96979-eb11-4752-b50c-5d2f0639ab02;1800-01-31 00:00;Dataverbetering;ProRail;;Vossloh Cogifer Kloos BV;;;Indirecte bevestiging;> 25 cm;Hoofdspoor;;54E1;Geen;Steenslag 31,5/50;415090;Ja;Geen;;Beton;;Niet van toepassing;1:4,5;K1591;2014-04-01 00:00;Niet van toepassing;ProRail;;2014-04-01 00:00;WIJZIGEN;MVTW;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,5;Nee;;;GEEN LTD;Nee;Nee;Z-166414;;;;;;;;;;;
Dataset-Fysiek_object-11229987;11229987;107-308-1000312105;107 Kruising K183 1:4,5;Kruising;107;Moordrecht Aansl. - Den Haag Binckhorst;Niet van toepassing;Niet van toepassing;51;Zuid-Holland Noord;2;Den Haag;INGB;B;19.294000;19.317000;0.023000;M;K183;VRIJ;;1000;1000;02B;P2308-107;;2021-07-21 00:00;P1005295;308;B;955c5258-5b16-4251-854d-fe021d12eb53;2011-09-25 00:00;Dataverbetering;ProRail;Spoorafstand 7,50m;BWG;;;Indirecte bevestiging;15-25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;420306;Ja;Geen;2025-01-01 00:00;Beton;;Niet van toepassing;1:4,5;K183;2011-09-25 00:00;Niet van toepassing;ProRail;Niet van toepassing;2004-01-01 00:00;WIJZIGEN;YPB;BBK (<=28cm);BBK (<=28cm);Ballast op klei/veen;Afwijkende spoorafstand;Nee;;;420310;Nee;;;;;;;;;;;;;
Dataset-Fysiek_object-11506167;11506167;478-308-1000312165;478 Kruising K1193 1:4,5;Kruising;478;Rotterdam Europoort 4;Niet van toepassing;Niet van toepassing;53;Zee-Zevenaar;4;Europoort;INGB;B;0.752000;0.759000;0.007000;M;K1193;VRIJ;;1000;1000;04B;;;2022-01-11 00:00;175844;308;B;50354b60-331f-4e8e-bfb6-a6609e56abf2;2014-04-01 00:00;Dataverbetering;ProRail;;voestalpine WBN BV;2049-04-01 00:00;2: 80.000 < Tf <= 130.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;415090;Ja;Geen;2025-01-01 00:00;Beton;35;IV;1:4,5;K1193;2014-04-01 00:00;Niet van toepassing;ProRail;;2014-04-01 00:00;WIJZIGEN;MVTW;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,5;Nee;;;GEEN LTD;Nee;Nee;Z-166414;;;;;;;;;;;
Dataset-Fysiek_object-11333274;11333274;522-308-1000312123;522 Kruising K207 1:4,5;Kruising;522;Uitgeest;Niet van toepassing;Niet van toepassing;42;Noord-West;7;Alkmaar;INGB;B;58.073000;58.079000;0.006000;M;K207;VRIJ;;1000;1000;07B;P2108-522;2013480;2022-07-25 00:00;P1002958;308;B;1a3e1477-e03b-4af9-978e-8e22563a51a2;2011-01-01 00:00;Dataverbetering;ProRail;wis.tek. 414773 / 412827;Wisselbouw Nederland;2046-01-01 00:00;3: 40.000 < Tf <= 80.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;414773;Ja;Geen;;Beton;35;IV;1:4,5;K207;2011-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;UTG;BBK (<=28cm);BBK (<=28cm);Ballast op zand;4,5;Nee;;;GEEN LTD;Ja;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-11507804;11507804;560-308-1000312169;560 Kruising K43 1:4,5;Kruising;560;Den Haag Centraal;Niet van toepassing;Niet van toepassing;51;Zuid-Holland Noord;2;Den Haag;INGB;B;24.901000;24.908000;0.007000;M;K43;VRIJ;;1000;1000;02B;P2308-555;2022680;2022-06-15 00:00;P1002958;308;B;81dc5a45-d013-4275-a4e9-360bb3906c20;2018-05-14 00:00;Dataverbetering;ProRail;NVT;ONBEKEND;2048-01-01 00:00;4: 20.000 < Tf <= 40.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;415090;Ja;Geen;2025-01-01 00:00;Beton;45;IV;1:4,5;K43;2018-05-14 00:00;Niet van toepassing;ProRail;Niet van toepassing;2018-05-14 00:00;WIJZIGEN;GVC;BBK (<=28cm);BBK (<=28cm);Ballast op klei/veen;4,5;Nee;;;GEEN LTD;Nee;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10657098;10657098;586-308-1000312027;586 Kruising K2503 1:4,5;Kruising;586;Amsterdam Centraal;Niet van toepassing;Niet van toepassing;41;Midden;9;Amsterdam;INGB;B;80.235000;80.242000;0.007000;M;K2503;VRIJ;;1000;1000;09B;P2108-586;2012633;2022-06-01 00:00;P1002958;308;B;2a2d4cb2-8abb-4416-8f6c-86df78298fef;2003-01-01 00:00;Dataverbetering;ProRail;;ONBEKEND;2048-01-01 00:00;4: 20.000 < Tf <= 40.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;412827;Ja;Geen;;Beton;45;I;1:4,5;K2503;2003-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;SANEREN;ASD;BBK (<=28cm);Objectregistratie (<=1.5m);Ballast op zand;4,5;Nee;2199-01-01 00:00;;GEEN LTD;;Nee;Z-156402;;;;25.800;;;;;;;
Dataset-Fysiek_object-10657114;10657114;586-308-1000312031;586 Kruising K2511 1:4,5;Kruising;586;Amsterdam Centraal;Niet van toepassing;Niet van toepassing;41;Midden;9;Amsterdam;INGB;B;80.275000;80.282000;0.007000;M;K2511;VRIJ;;1000;1000;09B;P2108-586;2012635;2022-06-01 00:00;P1002958;308;B;80e4572a-ddf9-4dba-80dc-35564698024d;2003-01-01 00:00;Dataverbetering;ProRail;;ONBEKEND;2048-01-01 00:00;4: 20.000 < Tf <= 40.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;412827;Ja;Geen;;Beton;45;I;1:4,5;K2511;2003-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;SANEREN;ASD;BBK (<=28cm);Objectregistratie (<=1.5m);Ballastloze constructie;4,5;Nee;2199-01-01 00:00;;GEEN LTD;;Nee;Z-156402;;;;25.800;;;;;;;
Dataset-Fysiek_object-10944812;10944812;545-308-1000312071;545 Kruising K81 1:4,5;Kruising;545;Roosendaal;Niet van toepassing;Niet van toepassing;31;Zuid-West;19;Roosendaal;INGB;B;22.337000;22.344000;0.007000;M;K81;VRIJ;;1000;1000;19B;P3108-545;2019453;2021-07-21 00:00;P1005295;308;B;c8bf99a5-b19f-439f-9065-1a10a3c00ee1;2004-01-01 00:00;Dataverbetering;ProRail;;ONBEKEND;2064-01-01 00:00;6: Tf <= 5.000 (lichtst bel.);Indirecte bevestiging;> 25 cm;Hoofdspoor;C: Centr bed en licht belast;54E1;Geen;Steenslag 31,5/50;415090;Ja;Geen;;Beton;60;IV;1:4,5;K81;2004-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;RSD;Onbekende nauwkeurigheid;Objectregistratie (<=1.5m);Ballast op zand;4,5;Nee;;;GEEN LTD;Nee;Nee;Z-156402;;P-E;999;999;999;;;;;;
Dataset-Fysiek_object-11507782;11507782;560-308-1000312167;560 Kruising K71 1:4,5;Kruising;560;Den Haag Centraal;Niet van toepassing;Niet van toepassing;51;Zuid-Holland Noord;2;Den Haag;INGB;B;24.749000;24.769000;0.020000;M;K71;VRIJ;;1000;1000;02B;P2308-555;2022680;2022-04-22 00:00;P1002958;308;B;34d04e5f-5a90-4695-aeec-1862443f61d7;2003-01-01 00:00;Mutaties vanuit projecten;ProRail;NVT;Kloos;2065-03-02 00:00;4: 20.000 < Tf <= 40.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 31,5/50;UNICAAT;Ja;Geen;2025-01-01 00:00;Beton;45;IV;1:4,5;K71;2020-03-02 00:00;Niet van toepassing;ProRail;Niet van toepassing;2020-03-02 00:00;1 OP 1 VERVANGING;GVC;BBK (<=28cm);BBK (<=28cm);Ballast op zand;Afwijkende spoorafstand;Nee;;;1586872;Nee;Nee;K-006024;;;;;;geogrid + filtervlies;Tensar GEOGRIDS;;;;
Dataset-Fysiek_object-10611250;10611250;503-308-1000312001;503 Kruising 192AA 1:9/1:9/1:12 (geb) (B;Kruising;503;Deventer;Niet van toepassing;Niet van toepassing;22;Oost;31;IJsselstreek;INGB;B;40.821000;40.870000;0.049000;M;192AA;PROJ PRCB;7-10-2020 Erwin de Graaf:;1000;1000;31B;P1208-503;2020183;2021-07-24 00:00;P1005295;308;B;48499b9e-77cc-45c9-a18f-43e67450a953;1995-01-01 00:00;Dataverbetering;ProRail;;WBB;2020-01-01 00:00;4: 20.000 < Tf <= 40.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;Niet van toepassing;54E1;Geen;Steenslag 31,5/50;UNICAAT;Nee;Geen;2013-01-01 00:00;Hout;25;I;1:9/1:9/1:12 (geb) (Bkp);192AA;1995-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;SANEREN;DV;BBK (<=28cm);Objectregistratie (<=1.5m);Ballast op zand;5,3;Nee;2020-12-31 00:00;2022-12-31 00:00;GEEN LTD;Nee;Nee;Z-156402;;;5.684;31.179;48.327;;;;;;
Dataset-Fysiek_object-10721979;10721979;823-308-1000312047;823 Kruising K14 1:4,5;Kruising;823;Oosterhout Weststad;Niet van toepassing;Niet van toepassing;31;Zuid-West;19;Roosendaal;INGB;B;4.676000;4.688000;0.012000;M;K14;VRIJ;;1000;1000;19B;P3108-823;2019665;2022-04-27 00:00;P1002958;308;B;95a209d5-9664-439b-9a6c-697683e31cd6;2000-01-01 00:00;Dataverbetering;ProRail;;ONBEKEND;2035-01-01 00:00;6: Tf <= 5.000 (lichtst bel.);Indirecte bevestiging;15-25 cm;Zijspoor;D: Niet centraal bed. wissel;54E1;Geen;Steenslag 22/40;411033;Nee;Geen;;Hout;35;IV;1:4,5;K14;2000-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;;WIJZIGEN;OTW;Onbekende nauwkeurigheid;Objectregistratie (<=1.5m);Ballast op klei/veen;5,0;Nee;2027-12-31 00:00;2027-12-31 00:00;GEEN LTD;Nee;Nee;Z-156402;;P.E;999;999;999;;;;;;
Dataset-Fysiek_object-11650245;11650245;560-308-1000416554;560 Kruising K41 1:4,5;Kruising;560;Den Haag Centraal;Niet van toepassing;Niet van toepassing;51;Zuid-Holland Noord;2;Den Haag;INGB;B;24.941000;24.964000;0.023000;M;K41;VRIJ;;1000;1000;02B;;;2021-07-21 00:00;P1005295;308;B;209fa4d3-5e3c-4499-aa91-fbdf6add68c0;1800-01-31 00:00;Dataverbetering;ProRail;Spoorafstand 6,25m;WBB;;;Indirecte bevestiging;15-25 cm;Hoofdspoor;;54E1;Geen;Steenslag 31,5/50;420306;Ja;Geen;;Beton;;Niet van toepassing;1:4,5;K41;2006-01-01 00:00;Niet van toepassing;ProRail;Niet van toepassing;2006-01-01 00:00;NIEUWBOUW;GVC;BBK (<=28cm);BBK (<=28cm);Ballast op klei/veen;Afwijkende spoorafstand;Nee;;;GEEN LTD;Nee;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-11483378;11483378;504-308-1000312151;504 Kruising K63A 1:4,5;Kruising;504;Heerlen;Niet van toepassing;Niet van toepassing;32;Zuid-Oost;26;Maastricht;INGB;B;18.285000;18.292000;0.007000;M;K63A;VRIJ PRCB;;1000;1000;26B;P3208-504;;2022-06-16 00:00;P1006910;308;B;d1db8c07-bd2e-4549-badc-087c2f414d49;2013-10-20 00:00;Dataverbetering;ProRail;Krs deels beton/kunststof;KLOOS OVING;2060-10-20 00:00;5: 5.000 < Tf <= 20.000;Indirecte bevestiging;> 25 cm;Hoofdspoor;A: Centr bed en intens. belast;54E1;Geen;Steenslag 31,5/50;415090;Ja;Geen;;Kunststof;;IV;1:4,5;K63A;2013-10-20 00:00;Niet van toepassing;ProRail;Niet van Toepassing;;WIJZIGEN;HRL;Objectregistratie (<=1.5m);Objectregistratie (<=1.5m);;4,5;Nee;;;ONBEKEND;Nee;Nee;;;;;;;;;;;;
Dataset-Fysiek_object-10953670;10953670;609-308-1000312073;609 Bew.Kruising 3A/B 1:15;Kruising;609;Zutphen;Niet van toepassing;Niet van toepassing;22;Oost;31;IJsselstreek;INGB;B;29.722000;29.796000;0.074000;M;3A/B;VRIJ;;1000;1000;31B;P1208-609;;2021-07-24 00:00;P1005295;308;B;774649e8-c206-4946-af13-277365492c65;2006-01-01 00:00;Dataverbetering;ProRail;;WBB;2066-01-01 00:00;6: Tf <= 5.000 (lichtst bel.);Indirecte bevestiging;> 25 cm;Hoofdspoor;B: Centr bed en middel belast;54E1;Austrorollen;Steenslag 31,5/50;414793;Ja;POSS;;Beton;60;II;1:15;3A/B;2006-01-01 00:00;GK.ZPTA.01;ProRail;Niet van toepassing;;SANEREN;ZP;Onbekende nauwkeurigheid;Objectregistratie (<=1.5m);;5,3;Nee;;;GEEN LTD;Nee;Nee;Z-156402;;;;;;;;;;Zp, Brp HD, Groepskast 7;
